ts,oi
1784073600,216337835.0
1784073900,216514578.0
1784074200,216524026.0
1784074500,216560635.0
1784074800,216563636.0
1784075100,216567716.0
1784075400,216593917.0
1784075700,216629742.0
1784076000,216933244.0
1784076300,216956827.0
1784076600,216983995.0
1784076900,216974230.0
1784077200,217070569.0
1784077500,217027843.0
1784077800,217044476.0
1784078100,217064849.0
1784078400,217065230.0
1784078700,217049104.0
1784079000,217240627.0
1784079300,217576385.0
1784079600,218079678.0
1784079900,218168387.0
1784080200,217713618.0
1784080500,217729584.0
1784080800,218812346.0
1784081100,219006630.0
1784081400,219072345.0
1784081700,219076907.0
1784082000,219118107.0
1784082300,219213601.0
1784082600,219166726.0
1784082900,219219383.0
1784083200,219255533.0
1784083500,219282457.0
1784083800,219334476.0
1784084100,219413799.0
1784084400,219442174.0
1784084700,219476185.0
1784085000,219555338.0
1784085300,219542081.0
1784085600,219354143.0
1784085900,219346718.0
1784086200,219351461.0
1784086500,219256400.0
1784086800,219262389.0
1784087100,219296152.0
1784087400,219292752.0
1784087700,219080876.0
1784088000,219087513.0
1784088300,219038569.0
1784088600,219065062.0
1784088900,219513065.0
1784089200,219408666.0
1784089500,219384608.0
1784089800,219428794.0
1784090100,219453293.0
1784090400,219453294.0
1784090700,219451665.0
1784091000,219461633.0
1784091300,219385594.0
1784091600,219306122.0
1784091900,219479217.0
1784092200,219440546.0
1784092500,219631206.0
1784092800,219542009.0
1784093100,219529963.0
1784093400,219533517.0
1784093700,219553114.0
1784094000,219573457.0
1784094300,219570537.0
1784094600,219572272.0
1784094900,219566608.0
1784095200,219637354.0
1784095500,219735798.0
1784095800,219749955.0
1784096100,219786718.0
1784096400,219797190.0
1784096700,219803421.0
1784097000,219805235.0
1784097300,219908417.0
1784097600,219927378.0
1784097900,219940996.0
1784098200,219979297.0
1784098500,220032353.0
1784098800,220060205.0
1784099100,220082829.0
1784099400,220019475.0
1784099700,220015268.0
1784100000,220014419.0
1784100300,219987086.0
1784100600,220002564.0
1784100900,220098041.0
1784101200,220280149.0
1784101500,221304991.0
1784101800,221484416.0
1784102100,221634225.0
1784102400,221364735.0
1784102700,221370627.0
1784103000,221266523.0
1784103300,221256862.0
1784103600,221239066.0
1784103900,221219831.0
1784104200,221257074.0
1784104500,221275967.0
1784104800,221454855.0
1784105100,221464273.0
1784105400,221499940.0
1784105700,221274602.0
1784106000,221412958.0
1784106300,221383627.0
1784106600,221441648.0
1784106900,221475341.0
1784107200,221493964.0
1784107500,221499622.0
1784107800,221509007.0
1784108100,221531907.0
1784108400,221540203.0
1784108700,221837367.0
1784109000,221857246.0
1784109300,222018747.0
1784109600,221954601.0
1784109900,221963337.0
1784110200,221946657.0
1784110500,222165763.0
1784110800,222056144.0
1784111100,222060938.0
1784111400,222061104.0
1784111700,222077074.0
1784112000,222110374.0
1784112300,222018642.0
1784112600,221797038.0
1784112900,221724161.0
1784113200,221825961.0
1784113500,221861900.0
1784113800,221750049.0
1784114100,221740032.0
1784114400,221728049.0
1784114700,221589650.0
1784115000,221552297.0
1784115300,221452868.0
1784115600,221365476.0
1784115900,221355609.0
1784116200,221368203.0
1784116500,221366562.0
1784116800,221250271.0
1784117100,221255727.0
1784117400,221252667.0
1784117700,221236732.0
1784118000,221234300.0
1784118300,221208772.0
1784118600,221037837.0
1784118900,221145359.0
1784119200,221210410.0
1784119500,221359461.0
1784119800,221395765.0
1784120100,222080515.0
1784120400,222316059.0
1784120700,222240981.0
1784121000,222117511.0
1784121300,222042194.0
1784121600,222077266.0
1784121900,222032360.0
1784122200,222050045.0
1784122500,222284727.0
1784122800,222375399.0
1784123100,222419070.0
1784123400,222522263.0
1784123700,222847846.0
1784124000,223819788.0
1784124300,223176041.0
1784124600,223181463.0
1784124900,223191854.0
1784125200,223172012.0
1784125500,223172702.0
1784125800,223381759.0
1784126100,223393353.0
1784126400,223347693.0
1784126700,223166512.0
1784127000,222177944.0
1784127300,222251230.0
1784127600,223890931.0
1784127900,224349145.0
1784128200,226180460.0
1784128500,226228139.0
1784128800,225887900.0
1784129100,226725842.0
1784129400,226587068.0
1784129700,225847434.0
1784130000,225838303.0
1784130300,225439128.0
1784130600,226007766.0
1784130900,226219832.0
1784131200,227219249.0
1784131500,227164817.0
1784131800,227233044.0
1784132100,227386900.0
1784132400,227296532.0
1784132700,227432418.0
1784133000,226635211.0
1784133300,226427368.0
1784133600,225656293.0
1784133900,225608054.0
1784134200,225548084.0
1784134500,225562664.0
1784134800,225268168.0
1784135100,225158318.0
1784135400,225198870.0
1784135700,225207846.0
1784136000,225222878.0
1784136300,225227296.0
1784136600,225203480.0
1784136900,225165238.0
1784137200,225124890.0
1784137500,225392265.0
1784137800,225189768.0
1784138100,225152015.0
1784138400,225196626.0
1784138700,225185139.0
1784139000,225073045.0
1784139300,225068207.0
1784139600,225032395.0
1784139900,225033664.0
1784140200,225069307.0
1784140500,225019215.0
1784140800,224916556.0
1784141100,224941324.0
1784141400,224928532.0
1784141700,224901868.0
1784142000,225021184.0
1784142300,225020874.0
1784142600,225025182.0
1784142900,225012353.0
1784143200,225011720.0
1784143500,225012530.0
1784143800,225035440.0
1784144100,225040198.0
1784144400,225016166.0
1784144700,225011489.0
1784145000,225100825.0
1784145300,225087662.0
1784145600,225083869.0
1784145900,225097153.0
1784146200,224882529.0
1784146500,224801662.0
1784146800,224808315.0
1784147100,224958908.0
1784147400,224970562.0
1784147700,225083760.0
1784148000,224986037.0
1784148300,224925681.0
1784148600,224914530.0
1784148900,224963215.0
1784149200,224951060.0
1784149500,224994327.0
1784149800,224998984.0
1784150100,225009882.0
1784150400,225035073.0
1784150700,225040233.0
1784151000,225080839.0
1784151300,225077823.0
1784151600,225071028.0
1784151900,225064453.0
1784152200,225061851.0
1784152500,225059647.0
1784152800,224876665.0
1784153100,224789991.0
1784153400,224779728.0
1784153700,224779719.0
1784154000,224751493.0
1784154300,224742586.0
1784154600,224732687.0
1784154900,224639241.0
1784155200,224520418.0
1784155500,224510890.0
1784155800,224384152.0
1784156100,224311038.0
1784156400,224289185.0
1784156700,224204226.0
1784157000,224080020.0
1784157300,224082233.0
1784157600,224101139.0
1784157900,224111920.0
1784158200,223908518.0
1784158500,223866029.0
1784158800,223816044.0
