ts,oi
1772928300,211985714.0
1772928600,211925058.0
1772928900,211916676.0
1772929200,211843834.0
1772929500,211657384.0
1772929800,211665381.0
1772930100,211674266.0
1772930400,211875123.0
1772930700,211872706.0
1772931000,211830366.0
1772931300,211874145.0
1772931600,211868256.0
1772931900,211863847.0
1772932200,211761560.0
1772932500,211763709.0
1772932800,211754878.0
1772933100,211783620.0
1772933400,211766700.0
1772933700,211575732.0
1772934000,211572820.0
1772934300,211571260.0
1772934600,211559340.0
1772934900,211552848.0
1772935200,211563928.0
1772935500,211559161.0
1772935800,211605311.0
1772936100,211573360.0
1772936400,211597534.0
1772936700,211603946.0
1772937000,211438228.0
1772937300,211230463.0
1772937600,211359965.0
1772937900,211167001.0
1772938200,211040138.0
1772938500,210854288.0
1772938800,210916634.0
1772939100,210948540.0
1772939400,210908638.0
1772939700,210969021.0
1772940000,211048734.0
1772940300,211102084.0
1772940600,211102496.0
1772940900,211068896.0
1772941200,210986784.0
1772941500,210955095.0
1772941800,210921266.0
1772942100,210905005.0
1772942400,210876396.0
1772942700,210878240.0
1772943000,210897203.0
1772943300,210915606.0
1772943600,210988094.0
1772943900,210958538.0
1772944200,210971344.0
1772944500,210997359.0
1772944800,211001315.0
1772945100,211016349.0
1772945400,210999399.0
1772945700,210937675.0
1772946000,210913906.0
1772946300,210955179.0
1772946600,211326004.0
1772946900,211366184.0
1772947200,211343571.0
1772947500,211329791.0
1772947800,211289888.0
1772948100,211350717.0
1772948400,211361339.0
1772948700,211318018.0
1772949000,211314102.0
1772949300,211587961.0
1772949600,211646683.0
1772949900,211585977.0
1772950200,211720382.0
1772950500,211831498.0
1772950800,211825929.0
1772951100,211815003.0
1772951400,211808064.0
1772951700,211784885.0
1772952000,211699102.0
1772952300,211583690.0
1772952600,211737306.0
1772952900,211758935.0
1772953200,211612765.0
1772953500,211768517.0
1772953800,211847282.0
1772954100,211608501.0
1772954400,211589132.0
1772954700,211617303.0
1772955000,211596103.0
1772955300,211362614.0
1772955600,211318049.0
1772955900,211316093.0
1772956200,211231585.0
1772956500,211215764.0
1772956800,211379709.0
1772957100,211434455.0
1772957400,211442100.0
1772957700,211460764.0
1772958000,211418939.0
1772958300,211417466.0
1772958600,211451472.0
1772958900,211248991.0
1772959200,211255126.0
1772959500,211353339.0
1772959800,211306556.0
1772960100,211285974.0
1772960400,211291676.0
1772960700,211454625.0
1772961000,211719617.0
1772961300,211756226.0
1772961600,211816955.0
1772961900,211852393.0
1772962200,211903609.0
1772962500,211899712.0
1772962800,211790978.0
1772963100,211720680.0
1772963400,211711164.0
1772963700,211718221.0
1772964000,211595355.0
1772964300,211722576.0
1772964600,211834160.0
1772964900,211899287.0
1772965200,211663691.0
1772965500,211509650.0
1772965800,211391587.0
1772966100,211326297.0
1772966400,211345666.0
1772966700,211299775.0
1772967000,211266355.0
1772967300,210640786.0
1772967600,210794872.0
1772967900,210369201.0
1772968200,210336542.0
1772968500,210340725.0
1772968800,210389548.0
1772969100,210427695.0
1772969400,210387184.0
1772969700,210353706.0
1772970000,210344057.0
1772970300,210246365.0
1772970600,210227428.0
1772970900,210015615.0
1772971200,210025756.0
1772971500,210224752.0
1772971800,210179400.0
1772972100,210124044.0
1772972400,210227575.0
1772972700,210182566.0
1772973000,210169297.0
1772973300,210316488.0
1772973600,210312205.0
1772973900,211367933.0
1772974200,211363548.0
1772974500,211391212.0
1772974800,211409182.0
1772975100,211403429.0
1772975400,211365064.0
1772975700,211428467.0
1772976000,211622441.0
1772976300,211577819.0
1772976600,211352198.0
1772976900,211156065.0
1772977200,211256019.0
1772977500,211286836.0
1772977800,211278252.0
1772978100,211234447.0
1772978400,211225137.0
1772978700,211339127.0
1772979000,211013002.0
1772979300,211034454.0
1772979600,211115149.0
1772979900,211111210.0
1772980200,211102182.0
1772980500,210953492.0
1772980800,210979181.0
1772981100,210991590.0
1772981400,210950971.0
1772981700,211044972.0
1772982000,211113802.0
1772982300,211141891.0
1772982600,211143749.0
1772982900,211149875.0
1772983200,211228425.0
1772983500,211690611.0
1772983800,211715835.0
1772984100,211374151.0
1772984400,211393873.0
1772984700,211501630.0
1772985000,211522284.0
1772985300,211571997.0
1772985600,212186614.0
1772985900,212244062.0
1772986200,212256460.0
1772986500,212277062.0
1772986800,212347171.0
1772987100,212330346.0
1772987400,212354445.0
1772987700,212419351.0
1772988000,212341133.0
1772988300,212342239.0
1772988600,212410889.0
1772988900,212419743.0
1772989200,212425467.0
1772989500,212535553.0
1772989800,212443815.0
1772990100,212483156.0
1772990400,212481817.0
1772990700,212602525.0
1772991000,212636559.0
1772991300,212902888.0
1772991600,212892197.0
1772991900,212837008.0
1772992200,212885450.0
1772992500,212880523.0
1772992800,212983467.0
1772993100,212985714.0
1772993400,212934594.0
1772993700,212942312.0
1772994000,212932740.0
1772994300,212872009.0
1772994600,212872743.0
1772994900,212830754.0
1772995200,212940695.0
1772995500,212935610.0
1772995800,212953119.0
1772996100,212960507.0
1772996400,212966561.0
1772996700,212900039.0
1772997000,212890768.0
1772997300,212906564.0
1772997600,213091154.0
1772997900,213129787.0
1772998200,213124790.0
1772998500,213127772.0
1772998800,213120290.0
1772999100,213061545.0
1772999400,213021001.0
1772999700,212984614.0
1773000000,212976566.0
1773000300,212863894.0
1773000600,212788810.0
1773000900,212774332.0
1773001200,212768439.0
1773001500,212859921.0
1773001800,212938269.0
1773002100,212884568.0
1773002400,212698464.0
1773002700,212780744.0
1773003000,212793289.0
1773003300,212706025.0
1773003600,212761731.0
1773003900,212901933.0
1773004200,212900683.0
1773004500,212934953.0
1773004800,212951403.0
1773005100,213018438.0
1773005400,213014012.0
1773005700,213074665.0
1773006000,213027094.0
1773006300,213106445.0
1773006600,213116406.0
1773006900,213112897.0
1773007200,213084743.0
1773007500,212654105.0
1773007800,212793795.0
1773008100,212698205.0
1773008400,212627335.0
1773008700,212620643.0
1773009000,212765711.0
1773009300,212767463.0
1773009600,212918780.0
1773009900,212980385.0
1773010200,213205487.0
1773010500,213218079.0
1773010800,212994116.0
1773011100,213125950.0
1773011400,212944386.0
1773011700,212750804.0
1773012000,212829961.0
1773012300,213245253.0
1773012600,213252718.0
1773012900,213246605.0
1773013200,213539452.0
1773013500,213601056.0
1773013800,213598579.0
1773014100,213671169.0
1773014400,213688097.0
