ts,oi
1745798400,330309124.0
1745798700,330305717.0
1745799000,330312059.0
1745799300,330779537.0
1745799600,330199190.0
1745799900,330219423.0
1745800200,330125173.0
1745800500,330206850.0
1745800800,330119259.0
1745801100,330152699.0
1745801400,332325704.0
1745801700,333480484.0
1745802000,333768883.0
1745802300,333557675.0
1745802600,332759706.0
1745802900,332756727.0
1745803200,332164690.0
1745803500,332171295.0
1745803800,331990533.0
1745804100,330981838.0
1745804400,330115124.0
1745804700,330324554.0
1745805000,329903484.0
1745805300,330251099.0
1745805600,330533696.0
1745805900,329510739.0
1745806200,330380733.0
1745806500,330206943.0
1745806800,330216090.0
1745807100,330490825.0
1745807400,330459710.0
1745807700,330190948.0
1745808000,329883730.0
1745808300,330016159.0
1745808600,329975188.0
1745808900,329930761.0
1745809200,329913298.0
1745809500,329945719.0
1745809800,329832859.0
1745810100,330170760.0
1745810400,330223137.0
1745810700,328766928.0
1745811000,328264760.0
1745811300,327832886.0
1745811600,327899127.0
1745811900,327196654.0
1745812200,327398436.0
1745812500,327469105.0
1745812800,325803458.0
1745813100,325366400.0
1745813400,323810082.0
1745813700,318846858.0
1745814000,317750473.0
1745814300,319023973.0
1745814600,318770841.0
1745814900,319612239.0
1745815200,319912290.0
1745815500,319468357.0
1745815800,319334428.0
1745816100,322625219.0
1745816400,322232419.0
1745816700,322197686.0
1745817000,322750004.0
1745817300,322762614.0
1745817600,322853375.0
1745817900,322816057.0
1745818200,324288732.0
1745818500,323770748.0
1745818800,323898096.0
1745819100,323889562.0
1745819400,324540602.0
1745819700,324154519.0
1745820000,324534111.0
1745820300,325277167.0
1745820600,325088474.0
1745820900,324550095.0
1745821200,324713052.0
1745821500,323967634.0
1745821800,323823080.0
1745822100,323470335.0
1745822400,323876778.0
1745822700,323884384.0
1745823000,323842375.0
1745823300,322901451.0
1745823600,322848235.0
1745823900,322012149.0
1745824200,321974798.0
1745824500,322202757.0
1745824800,321793897.0
1745825100,321297797.0
1745825400,320828987.0
1745825700,320299174.0
1745826000,319649694.0
1745826300,318819860.0
1745826600,318544775.0
1745826900,319080279.0
1745827200,319245696.0
1745827500,318832391.0
1745827800,318797769.0
1745828100,318269993.0
1745828400,318154946.0
1745828700,318453216.0
1745829000,319202167.0
1745829300,319253031.0
1745829600,319010733.0
1745829900,319010456.0
1745830200,318998735.0
1745830500,319342416.0
1745830800,319967920.0
1745831100,319445273.0
1745831400,318537478.0
