ts,oi
1764461100,227167995.0
1764461400,227160131.0
1764461700,227125531.0
1764462000,227216632.0
1764462300,226839386.0
1764462600,227130580.0
1764462900,227069338.0
1764463200,227136336.0
1764463500,227153137.0
1764463800,227156545.0
1764464100,227124405.0
1764464400,227089425.0
1764464700,227264749.0
1764465000,227383515.0
1764465300,227410680.0
1764465600,227396148.0
1764465900,227402480.0
1764466200,227381630.0
1764466500,227370992.0
1764466800,227318013.0
1764467100,227287194.0
1764467400,227277277.0
1764467700,227263940.0
1764468000,227227013.0
1764468300,227057689.0
1764468600,227073507.0
1764468900,227107739.0
1764469200,227070727.0
1764469500,227023335.0
1764469800,227001267.0
1764470100,227102286.0
1764470400,227128562.0
1764470700,227200919.0
1764471000,226395444.0
1764471300,226387431.0
1764471600,226369518.0
1764471900,226332991.0
1764472200,226305264.0
1764472500,226165924.0
1764472800,226149390.0
1764473100,226081762.0
1764473400,226039074.0
1764473700,226039467.0
1764474000,226000827.0
1764474300,226254307.0
1764474600,226345827.0
1764474900,226344586.0
1764475200,226346318.0
1764475500,226819188.0
1764475800,226659180.0
1764476100,226633284.0
1764476400,226899698.0
1764476700,227788107.0
1764477000,227921971.0
1764477300,227869968.0
1764477600,227768087.0
1764477900,227782726.0
1764478200,227818198.0
1764478500,227803658.0
1764478800,227814179.0
1764479100,228172338.0
1764479400,228412020.0
1764479700,228309758.0
1764480000,228069667.0
1764480300,228066988.0
1764480600,228079329.0
1764480900,228013335.0
1764481200,228316524.0
1764481500,228528740.0
1764481800,228500637.0
1764482100,228533054.0
1764482400,228559630.0
1764482700,228752082.0
1764483000,228972807.0
1764483300,229048996.0
1764483600,229115900.0
1764483900,229165606.0
1764484200,229185215.0
1764484500,229174280.0
1764484800,229173601.0
1764485100,229170861.0
1764485400,228925833.0
1764485700,229129121.0
1764486000,229096925.0
1764486300,229238415.0
1764486600,229344475.0
1764486900,229336106.0
1764487200,229551286.0
1764487500,229533333.0
1764487800,229543666.0
1764488100,229366091.0
1764488400,229269279.0
1764488700,229262755.0
1764489000,229255296.0
1764489300,229263788.0
1764489600,229371459.0
1764489900,229388452.0
1764490200,229380622.0
1764490500,229365740.0
1764490800,229337681.0
1764491100,229221221.0
1764491400,229058015.0
1764491700,229219008.0
1764492000,228632322.0
1764492300,228512927.0
1764492600,228537364.0
1764492900,228532239.0
1764493200,228531036.0
1764493500,228829065.0
1764493800,228795794.0
1764494100,228707642.0
1764494400,228555659.0
1764494700,228572387.0
1764495000,228456028.0
1764495300,228396165.0
1764495600,228374501.0
1764495900,228437635.0
1764496200,228433617.0
1764496500,228416424.0
1764496800,228392956.0
1764497100,228557109.0
1764497400,228566437.0
1764497700,228560709.0
1764498000,228511876.0
1764498300,228753481.0
1764498600,228776100.0
1764498900,228196773.0
1764499200,228016251.0
1764499500,227789007.0
1764499800,227567138.0
1764500100,227436123.0
1764500400,227522968.0
1764500700,227480907.0
1764501000,227596033.0
1764501300,227535337.0
1764501600,227492197.0
1764501900,227050162.0
1764502200,226934113.0
1764502500,226906856.0
1764502800,226842645.0
1764503100,226896868.0
1764503400,226971341.0
1764503700,227412307.0
1764504000,227239410.0
1764504300,226962161.0
1764504600,226780216.0
1764504900,226800668.0
1764505200,227505802.0
1764505500,227300701.0
1764505800,227233897.0
1764506100,227824257.0
1764506400,227752967.0
1764506700,227761654.0
1764507000,227476322.0
1764507300,227465623.0
1764507600,227342938.0
1764507900,226972106.0
1764508200,226853314.0
1764508500,226792412.0
1764508800,226902703.0
1764509100,226365331.0
1764509400,226495783.0
1764509700,226820648.0
1764510000,227257333.0
1764510300,227363680.0
1764510600,226494521.0
1764510900,226291507.0
1764511200,226371995.0
1764511500,226363825.0
1764511800,226312573.0
1764512100,226364643.0
1764512400,225937358.0
1764512700,225896386.0
1764513000,225839200.0
1764513300,225816599.0
1764513600,225688173.0
1764513900,225687695.0
