ts,oi
1758412800,597677413.0
1758413100,599838896.0
1758413400,601223534.0
1758413700,601875483.0
1758414000,601259830.0
1758414300,601279605.0
1758414600,602059422.0
1758414900,602201274.0
1758415200,602831840.0
1758415500,602923703.0
1758415800,603061277.0
1758416100,603029187.0
1758416400,602437314.0
1758416700,601935497.0
1758417000,602477483.0
1758417300,602646573.0
1758417600,602433613.0
1758417900,602989511.0
1758418200,602611515.0
1758418500,603399411.0
1758418800,602735234.0
1758419100,603144170.0
1758419400,603772429.0
1758419700,604813020.0
1758420000,604930096.0
1758420300,604764111.0
1758420600,605402056.0
1758420900,605253117.0
1758421200,605482010.0
1758421500,605970937.0
1758421800,606031566.0
1758422100,605923780.0
1758422400,606734068.0
1758422700,606770166.0
1758423000,607272758.0
1758423300,607738077.0
1758423600,607675619.0
1758423900,607705363.0
1758424200,607489681.0
1758424500,607015849.0
1758424800,606217481.0
1758425100,606501248.0
1758425400,606725853.0
1758425700,607056930.0
1758426000,607018062.0
1758426300,607467781.0
1758426600,607606005.0
1758426900,607992424.0
1758427200,609037266.0
1758427500,609087541.0
1758427800,608620535.0
1758428100,608754032.0
1758428400,608304579.0
1758428700,607698764.0
1758429000,606877994.0
1758429300,606681940.0
1758429600,604760447.0
1758429900,605872153.0
1758430200,606336414.0
1758430500,606954564.0
1758430800,608289306.0
1758431100,609569336.0
1758431400,610504503.0
1758431700,610829151.0
1758432000,610714139.0
1758432300,610906592.0
1758432600,611534476.0
1758432900,611713600.0
1758433200,611446696.0
1758433500,611033796.0
1758433800,611135093.0
1758434100,610916693.0
1758434400,610575488.0
1758434700,609596831.0
1758435000,609124387.0
1758435300,608597877.0
1758435600,608047221.0
1758435900,607425739.0
1758436200,606616224.0
1758436500,606198865.0
1758436800,606400231.0
1758437100,606083081.0
1758437400,604321329.0
1758437700,604261356.0
1758438000,601272087.0
1758438300,601859834.0
1758438600,602614534.0
1758438900,602605188.0
1758439200,602518295.0
1758439500,601959842.0
1758439800,601414834.0
1758440100,601009075.0
1758440400,600039128.0
1758440700,599077475.0
1758441000,599800513.0
1758441300,600340014.0
1758441600,600785408.0
1758441900,600806341.0
1758442200,600924320.0
1758442500,600746155.0
1758442800,600671480.0
1758443100,600784787.0
1758443400,600120263.0
1758443700,600501046.0
1758444000,600743268.0
1758444300,601075716.0
1758444600,601254827.0
1758444900,602007047.0
1758445200,602816295.0
1758445500,603122292.0
1758445800,601974585.0
1758446100,599460117.0
1758446400,597871273.0
1758446700,596462680.0
1758447000,596189404.0
1758447300,595164196.0
1758447600,595338253.0
1758447900,594656724.0
1758448200,593010703.0
1758448500,591705851.0
1758448800,590560270.0
1758449100,590324107.0
1758449400,589354768.0
1758449700,587527572.0
1758450000,585438294.0
1758450300,584736106.0
1758450600,584651618.0
1758450900,583194594.0
1758451200,582094144.0
1758451500,581134782.0
1758451800,580083441.0
1758452100,580570626.0
1758452400,579571728.0
1758452700,579313097.0
1758453000,579564912.0
1758453300,577891205.0
1758453600,575750881.0
1758453900,575378720.0
1758454200,573897421.0
1758454500,573640235.0
1758454800,574282669.0
1758455100,574616911.0
1758455400,575126223.0
1758455700,575160464.0
