ts,oi
1762733100,240306942.0
1762733400,240383617.0
1762733700,240643680.0
1762734000,240414965.0
1762734300,240832368.0
1762734600,240764157.0
1762734900,240663026.0
1762735200,240603955.0
1762735500,240389998.0
1762735800,240248484.0
1762736100,240201414.0
1762736400,239890201.0
1762736700,239881879.0
1762737000,239644678.0
1762737300,239594661.0
1762737600,239455292.0
1762737900,239371958.0
1762738200,239335929.0
1762738500,239295726.0
1762738800,239289168.0
1762739100,239306256.0
1762739400,239315402.0
1762739700,239291954.0
1762740000,239328020.0
1762740300,239387744.0
1762740600,239382917.0
1762740900,239364414.0
1762741200,239373573.0
1762741500,239657252.0
1762741800,239521234.0
1762742100,239619607.0
1762742400,239606595.0
1762742702,239187142.0
1762743000,239140429.0
1762743300,239131754.0
1762743600,239061313.0
1762743900,239253261.0
1762744200,239249074.0
1762744500,239251738.0
1762744800,239230928.0
1762745100,239265541.0
1762745400,239265006.0
1762745700,239300420.0
1762746000,239179730.0
1762746300,239155912.0
1762746600,239659538.0
1762746900,239733590.0
1762747200,239691954.0
1762747500,239720510.0
1762747800,239804913.0
1762748100,239904714.0
1762748400,239645776.0
1762748700,239504389.0
1762749000,239479186.0
1762749300,239587902.0
1762749600,239578472.0
1762749900,239568552.0
1762750200,239603152.0
1762750500,239658878.0
1762750800,239606356.0
1762751100,240032132.0
1762751400,239914899.0
1762751700,239977765.0
1762752000,240179813.0
1762752300,240135633.0
1762752600,240229865.0
1762752900,239908887.0
1762753200,239886019.0
1762753500,239866606.0
1762753800,239922248.0
1762754100,239933503.0
1762754400,239796457.0
1762754700,239774578.0
1762755000,239842901.0
1762755300,239766080.0
1762755600,239800173.0
1762755900,239471838.0
1762756200,239467730.0
1762756500,239297835.0
1762756800,239287451.0
1762757100,239253885.0
1762757400,239209452.0
1762757700,239293532.0
1762758000,239292986.0
1762758300,239209735.0
1762758600,239312132.0
1762758900,239205552.0
1762759200,239122399.0
1762759500,239100957.0
1762759800,238965915.0
1762760100,239185983.0
1762760400,239127734.0
1762760700,238972203.0
1762761000,238979718.0
1762761300,238989877.0
1762761600,238982200.0
1762761900,238940490.0
1762762200,238986687.0
1762762500,238756768.0
1762762800,238788413.0
1762763100,238792025.0
1762763400,238810135.0
1762763700,239227017.0
1762764000,239249332.0
1762764300,239139217.0
1762764600,239069589.0
1762764900,239105041.0
1762765200,239015826.0
1762765500,239031610.0
1762765800,239094622.0
1762766100,239046129.0
1762766400,239043328.0
1762766700,238943460.0
1762767000,237772559.0
1762767300,237730034.0
1762767600,237669629.0
1762767900,237550651.0
1762768200,237420352.0
1762768500,237193204.0
1762768800,237023172.0
1762769100,236989701.0
1762769400,236799324.0
1762769700,236631825.0
1762770000,236579702.0
1762770300,236601986.0
1762770600,236671090.0
1762770900,236688861.0
1762771200,236552729.0
1762771500,236466395.0
1762771800,236375427.0
1762772100,236322909.0
1762772400,236301107.0
1762772700,236134669.0
1762773000,235880314.0
1762773300,235874709.0
1762773600,235368797.0
1762773900,235237966.0
1762774200,235160008.0
1762774500,237164418.0
1762774800,239443128.0
1762775100,239563423.0
1762775400,238065362.0
1762775700,238214041.0
1762776000,238402093.0
1762776300,237125373.0
1762776600,236336055.0
1762776900,235852906.0
1762777200,235584625.0
1762777500,235714479.0
1762777800,235358376.0
1762778100,235257829.0
1762778400,235281976.0
1762778700,235165729.0
1762779000,234945695.0
1762779300,235109406.0
1762779600,234978647.0
1762779900,235277951.0
1762780200,235328094.0
1762780500,235165756.0
1762780800,235449400.0
1762781100,235435724.0
1762781400,236237645.0
1762781700,236109912.0
1762782000,235570228.0
1762782300,235365830.0
1762782600,235301445.0
1762782900,234237349.0
1762783200,234229879.0
1762783500,234134858.0
1762783800,234074456.0
1762784100,234478451.0
1762784400,232337826.0
1762784700,232359582.0
1762785000,232279328.0
1762785300,232177443.0
1762785600,232246849.0
1762785900,232306945.0
1762786200,232153982.0
1762786500,232091783.0
1762786800,232205373.0
1762787100,232065937.0
1762787400,231884729.0
1762787700,231820039.0
1762788000,231792816.0
1762788300,231845933.0
1762788600,231858906.0
1762788900,231838442.0
1762789200,232086801.0
1762789500,231960227.0
1762789800,232663607.0
1762790100,232432653.0
1762790400,232461734.0
1762790700,232389647.0
1762791000,232365357.0
1762791300,232310630.0
1762791600,232315158.0
1762791900,232183647.0
1762792200,232090280.0
1762792500,232211318.0
1762792800,232119905.0
1762793100,232129823.0
1762793400,232182077.0
1762793700,232401984.0
1762794000,232847916.0
1762794300,232753862.0
1762794600,232772219.0
1762794900,232715442.0
1762795200,232779239.0
1762795500,232629812.0
1762795800,232679147.0
1762796100,232630434.0
1762796400,232594002.0
1762796700,232689167.0
1762797000,232762213.0
1762797300,232683767.0
1762797600,232354440.0
1762797900,232392092.0
1762798200,232354101.0
1762798500,232357264.0
1762798800,232369035.0
1762799100,232374937.0
1762799400,232355280.0
1762799700,232392016.0
1762800000,232461262.0
1762800300,232748226.0
1762800600,232765187.0
1762800900,232860860.0
1762801200,232958789.0
1762801500,233066175.0
1762801800,232972247.0
1762802100,233008769.0
1762802400,233119675.0
1762802700,233090039.0
1762803000,233135182.0
1762803300,233182400.0
1762803600,233230824.0
1762803900,233065771.0
1762804200,233202329.0
1762804500,233149711.0
1762804800,232959009.0
1762805100,232948043.0
1762805400,232740606.0
1762805700,232807796.0
1762806000,232788703.0
1762806300,232747195.0
1762806600,232603498.0
1762806900,232460969.0
1762807200,232443212.0
1762807500,232329458.0
1762807800,232386812.0
1762808100,232487508.0
1762808400,232644497.0
1762808700,232694101.0
1762809000,232636314.0
1762809300,232659263.0
1762809600,232684556.0
1762809900,232670206.0
1762810200,232688237.0
1762810500,232692881.0
1762810800,232206949.0
1762811100,232377729.0
1762811400,232327399.0
1762811700,232364762.0
1762812000,232364897.0
1762812300,232332081.0
1762812600,232679961.0
1762812900,232917019.0
1762813200,232963169.0
1762813500,233014539.0
1762813800,233029095.0
1762814100,233209751.0
1762814400,233112583.0
1762814700,233107902.0
1762815000,233083761.0
1762815300,233098271.0
1762815600,233042269.0
1762815900,232751237.0
1762816200,232711729.0
1762816500,232863273.0
1762816800,232756979.0
1762817100,232796173.0
1762817400,232804557.0
1762817700,232802160.0
1762818000,232763211.0
1762818300,232906856.0
1762818600,233000317.0
1762818900,233099682.0
1762819200,233134651.0
