ts,open,high,low,close,volume
1758585600000,0.08551,0.08551,0.08453,0.08458,1331521.3
1758585900000,0.08458,0.08492,0.08458,0.08473,279872.78
1758586200000,0.08473,0.08476,0.08453,0.08465,252923.74
1758586500000,0.08465,0.08529,0.08465,0.08499,1375210.72
1758586800000,0.08499,0.08508,0.08487,0.08489,113065.88
1758587100000,0.08489,0.08492,0.08461,0.08461,282322.7
1758587400000,0.08461,0.08486,0.08456,0.0847,877508.51
1758587700000,0.0847,0.0848,0.08449,0.08467,181494.28
1758588000000,0.08467,0.08468,0.08455,0.08456,88780.03
1758588300000,0.08456,0.08482,0.08456,0.08476,121789.17
1758588600000,0.08476,0.08478,0.08457,0.08461,720662.6
1758588900000,0.08461,0.08461,0.08445,0.0845,169619.43
1758589200000,0.0845,0.08474,0.08445,0.08448,150487.67
1758589500000,0.08448,0.0847,0.08429,0.08446,1701700.0
1758589800000,0.08446,0.08455,0.08272,0.08337,4371500.0
1758590100000,0.08337,0.08366,0.08291,0.08366,530000.0
1758590400000,0.08366,0.08447,0.08366,0.08423,349110.61
1758590700000,0.08423,0.08446,0.08408,0.08411,137886.54
1758591000000,0.08411,0.08433,0.08377,0.08377,74825.55
1758591300000,0.08377,0.08377,0.083,0.08314,194700.78
1758591600000,0.08314,0.08314,0.08271,0.08285,475076.1
1758591900000,0.08285,0.08357,0.08269,0.08333,480437.68
1758592200000,0.08333,0.08511,0.08327,0.0851,976705.7
1758592500000,0.0851,0.08608,0.08488,0.08608,1665528.45
1758592800000,0.08608,0.087,0.086,0.08639,1415511.95
1758593100000,0.08639,0.0866,0.08567,0.08613,1261700.0
1758593400000,0.08613,0.08613,0.08545,0.08551,282752.14
1758593700000,0.08551,0.08619,0.08551,0.08595,841500.0
1758594000000,0.08595,0.08622,0.08554,0.08594,996266.98
1758594300000,0.08594,0.08644,0.0859,0.08637,1627847.3
1758594600000,0.08637,0.08655,0.086,0.08602,306549.6
1758594900000,0.08602,0.08641,0.08579,0.08641,1029273.31
1758595200000,0.08641,0.08698,0.08614,0.08679,934439.93
1758595500000,0.08679,0.08701,0.08515,0.08543,1841026.24
1758595800000,0.08543,0.08584,0.08501,0.08526,920310.88
1758596100000,0.08526,0.08555,0.08498,0.08529,615400.0
1758596400000,0.08529,0.08556,0.085,0.08515,234537.28
