ts,oi
1768435500,203600911.0
1768435800,203630144.0
1768436100,203657858.0
1768436400,203748448.0
1768436700,203636148.0
1768437000,203639956.0
1768437300,203766563.0
1768437600,203679786.0
1768437900,203691740.0
1768438200,203721379.0
1768438500,203723591.0
1768438800,203752320.0
1768439100,203653598.0
1768439400,203663245.0
1768439700,203622477.0
1768440000,203568278.0
1768440300,203112621.0
1768440600,203122370.0
1768440900,202683722.0
1768441200,202694729.0
1768441500,202764741.0
1768441800,202971542.0
1768442100,202895109.0
1768442400,202996130.0
1768442700,203079262.0
1768443000,202972647.0
1768443300,202999576.0
1768443600,202820694.0
1768443900,202851976.0
1768444200,202799821.0
1768444500,202935660.0
1768444800,202759532.0
1768445100,202808363.0
1768445400,202787764.0
1768445700,202938470.0
1768446000,202965711.0
1768446300,202775111.0
1768446600,202678561.0
1768446900,202683169.0
1768447200,202637910.0
1768447500,201741389.0
1768447800,201710152.0
1768448100,201550430.0
1768448400,200591751.0
1768448700,200456702.0
1768449000,200454638.0
1768449300,200414740.0
1768449600,200403688.0
1768449900,200044805.0
1768450200,200028052.0
1768450500,200018435.0
1768450800,200036879.0
1768451100,200028382.0
1768451400,199991537.0
1768451700,200031096.0
1768452000,200032204.0
1768452300,200070271.0
1768452600,200113857.0
1768452900,200123019.0
1768453200,200177623.0
1768453500,200523471.0
1768453800,200619662.0
1768454100,200858343.0
1768454400,200821108.0
1768454700,200764526.0
1768455000,200770596.0
1768455300,200783204.0
1768455600,200795409.0
1768455900,200809017.0
1768456200,200935436.0
1768456500,201193098.0
1768456800,201302549.0
1768457100,201234827.0
1768457400,201248247.0
1768457700,201828921.0
1768458000,201857463.0
1768458300,201827491.0
1768458600,201832751.0
1768458900,201824009.0
1768459200,201848393.0
1768459500,201874808.0
1768459800,201877642.0
1768460100,201920661.0
1768460400,201635568.0
1768460700,201058840.0
1768461000,201013069.0
1768461300,201019987.0
1768461600,201077002.0
1768461900,201093351.0
1768462200,201110150.0
1768462500,201110339.0
1768462800,201083469.0
1768463100,201202362.0
1768463400,201312507.0
1768463700,201334740.0
