create_time,sum_open_interest,sum_open_interest_value,ts
2026-08-09 00:00:00,444252763.0,49032306.28561127,1786233600000
2026-08-09 00:05:00,444922033.0,49884658.33996,1786233900000
2026-08-09 00:10:00,444953562.0,48569262.0229596,1786234200000
2026-08-09 00:15:00,435500056.0,45537349.13554816,1786234500000
2026-08-09 00:20:00,439213691.0,45980104.21809812,1786234800000
2026-08-09 00:25:00,440127721.0,46180233.877391025,1786235100000
2026-08-09 00:30:00,442018629.0,47317002.448436365,1786235400000
2026-08-09 00:35:00,442259107.0,46417998.92198299,1786235700000
2026-08-09 00:40:00,443480343.0,48135981.73650363,1786236000000
2026-08-09 00:45:00,444501291.0,47222332.521528065,1786236300000
2026-08-09 00:50:00,445339299.0,45651557.858163394,1786236600000
2026-08-09 00:55:00,442894356.0,45938521.73196108,1786236900000
2026-08-09 01:00:00,442613990.0,46133656.1777,1786237200000
2026-08-09 01:05:00,441325666.0,46457439.315691374,1786237500000
2026-08-09 01:10:00,440948007.0,47290985.87185908,1786237800000
2026-08-09 01:15:00,419849563.0,50365825.3367808,1786238100000
2026-08-09 01:20:00,424838840.0,52129106.39423,1786238400000
2026-08-09 01:25:00,427751057.0,53151037.42458558,1786238700000
2026-08-09 01:30:00,427906949.0,54643315.15476794,1786239000000
2026-08-09 01:35:00,423360300.0,56310590.433801,1786239300000
2026-08-09 01:40:00,426260720.0,56293529.4843992,1786239600000
2026-08-09 01:45:00,428488787.0,55687718.21909609,1786239900000
2026-08-09 01:50:00,429104645.0,55962840.8602165,1786240200000
2026-08-09 01:55:00,427288246.0,53676043.46593412,1786240500000
2026-08-09 02:00:00,425777626.0,54277765.59372164,1786240800000
2026-08-09 02:05:00,426791743.0,53023432.47302675,1786241100000
2026-08-09 02:10:00,424762907.0,53636749.18574592,1786241400000
2026-08-09 02:15:00,423539162.0,55998675.0199501,1786241700000
2026-08-09 02:20:00,424566661.0,54685812.027111635,1786242000000
2026-08-09 02:25:00,425398914.0,55234709.601425104,1786242300000
2026-08-09 02:30:00,426500495.0,55371113.42917195,1786242600000
2026-08-09 02:35:00,427397798.0,56224180.3269,1786242900000
2026-08-09 02:40:00,428113959.0,56724410.30402601,1786243200000
2026-08-09 02:45:00,428929482.0,56704571.88488604,1786243500000
2026-08-09 02:50:00,429101583.0,57075505.28142612,1786243800000
2026-08-09 02:55:00,417101708.0,50404918.67733604,1786244100000
2026-08-09 03:00:00,410775582.0,56173560.8385,1786244400000
2026-08-09 03:05:00,416807201.0,59332505.06235,1786244700000
2026-08-09 03:10:00,418462627.0,60305159.70137494,1786245000000
2026-08-09 03:15:00,412662307.0,56482080.3486268,1786245300000
2026-08-09 03:20:00,413020135.0,58787324.17025875,1786245600000
2026-08-09 03:25:00,414358755.0,57487557.710030556,1786245900000
2026-08-09 03:30:00,415245048.0,57581096.504802,1786246200000
2026-08-09 03:35:00,415205496.0,56601689.29831656,1786246500000
2026-08-09 03:40:00,414715476.0,56373850.5714888,1786246800000
2026-08-09 03:45:00,413974998.0,57833466.3505944,1786247100000
2026-08-09 03:50:00,415175326.0,57581637.47320284,1786247400000
2026-08-09 03:55:00,414680914.0,57913303.893764146,1786247700000
2026-08-09 04:00:00,415060532.0,59504513.97696072,1786248000000
2026-08-09 04:05:00,415950767.0,59838681.50012767,1786248300000
2026-08-09 04:10:00,416267501.0,59128658.90209486,1786248600000
2026-08-09 04:15:00,416896034.0,59157547.2246,1786248900000
2026-08-09 04:20:00,417090182.0,59160083.92758545,1786249200000
2026-08-09 04:25:00,417874630.0,60249164.1534,1786249500000
2026-08-09 04:30:00,419046806.0,61155284.39223818,1786249800000
2026-08-09 04:35:00,420347973.0,60822502.1620188,1786250100000
2026-08-09 04:40:00,418882820.0,60017291.6863926,1786250400000
2026-08-09 04:45:00,419422708.0,60215712.89596064,1786250700000
2026-08-09 04:50:00,419368044.0,60779010.61692,1786251000000
2026-08-09 04:55:00,420611710.0,61588216.850848496,1786251300000
2026-08-09 05:00:00,420678760.0,63352361.8558808,1786251600000
2026-08-09 05:05:00,423564328.0,63045089.31405432,1786251900000
2026-08-09 05:10:00,422336225.0,63104904.362234,1786252200000
2026-08-09 05:15:00,423881382.0,61831577.19234,1786252500000
2026-08-09 05:20:00,424186832.0,63457654.40079552,1786252800000
2026-08-09 05:25:00,415411587.0,65730575.41101,1786253100000
2026-08-09 05:30:00,418311261.0,67657537.8607617,1786253400000
2026-08-09 05:35:00,413542736.0,72138394.86784,1786253700000
2026-08-09 05:40:00,414988395.0,71532114.0303672,1786254000000
2026-08-09 05:45:00,416598856.0,73083937.30808,1786254300000
2026-08-09 05:50:00,417281130.0,75770929.9241685,1786254600000
2026-08-09 05:55:00,417487702.0,74310251.75638674,1786254900000
2026-08-09 06:00:00,417511497.0,72959745.81505777,1786255200000
2026-08-09 06:05:00,417769263.0,74037770.64122184,1786255500000
2026-08-09 06:10:00,414681108.0,76168625.91744,1786255800000
2026-08-09 06:15:00,411373088.0,75922083.30437024,1786256100000
2026-08-09 06:20:00,413912386.0,75041802.33044136,1786256400000
2026-08-09 06:25:00,413571008.0,72220006.83611326,1786256700000
2026-08-09 06:30:00,414768282.0,74580924.03235854,1786257000000
2026-08-09 06:35:00,414746687.0,75338146.75325446,1786257300000
2026-08-09 06:40:00,415167912.0,74874353.85232992,1786257600000
2026-08-09 06:45:00,415575048.0,76806788.158884,1786257900000
2026-08-09 06:50:00,412758291.0,78031954.91355,1786258200000
2026-08-09 06:55:00,413826731.0,79473275.92781611,1786258500000
2026-08-09 07:00:00,404169932.0,84245940.46555218,1786258800000
2026-08-09 07:05:00,381150387.0,91539554.4194355,1786259100000
2026-08-09 07:10:00,332616802.0,60143770.13764,1786259400000
2026-08-09 07:15:00,330564587.0,45412969.57335174,1786259700000
2026-08-09 07:20:00,323668427.0,39182700.98603005,1786260000000
2026-08-09 07:25:00,325831881.0,43446908.50204269,1786260300000
2026-08-09 07:30:00,325843680.0,47426547.624,1786260600000
2026-08-09 07:35:00,329961579.0,56758212.326669194,1786260900000
2026-08-09 07:40:00,334133163.0,57981763.57024233,1786261200000
2026-08-09 07:45:00,328288448.0,69497741.95106111,1786261500000
2026-08-09 07:50:00,315865836.0,59720753.61252,1786261800000
2026-08-09 07:55:00,318095088.0,56388366.3451632,1786262100000
2026-08-09 08:00:00,320693831.0,59537152.867549166,1786262400000
2026-08-09 08:05:00,320754928.0,52693571.4586008,1786262700000
2026-08-09 08:10:00,319183476.0,48623290.39983924,1786263000000
2026-08-09 08:15:00,317299929.0,49524909.05415528,1786263300000
2026-08-09 08:20:00,316707129.0,52411612.57957809,1786263600000
2026-08-09 08:25:00,315996011.0,52317661.52396741,1786263900000
2026-08-09 08:30:00,317990725.0,55356114.779559754,1786264200000
2026-08-09 08:35:00,317343722.0,57809449.08214574,1786264500000
2026-08-09 08:40:00,316799918.0,58250000.92266,1786264800000
2026-08-09 08:45:00,315917767.0,57992054.620645314,1786265100000
2026-08-09 08:50:00,315474158.0,55893206.44962548,1786265400000
2026-08-09 08:55:00,316577091.0,57743661.3984,1786265700000
2026-08-09 09:00:00,318346947.0,56517448.27380111,1786266000000
2026-08-09 09:05:00,318246713.0,55282636.51523,1786266300000
2026-08-09 09:10:00,318020252.0,55527274.1589434,1786266600000
2026-08-09 09:15:00,320335063.0,55547765.6665276,1786266900000
2026-08-09 09:20:00,319709339.0,55638229.781196065,1786267200000
