ts,oi
1753401600,429547077.0
1753401900,429648059.0
1753402200,429827129.0
1753402500,429751826.0
1753402800,429674792.0
1753403100,429680180.0
1753403400,429675350.0
1753403700,429653379.0
1753404000,429590911.0
1753404300,429571362.0
1753404600,429593965.0
1753404900,429570828.0
1753405200,429511758.0
1753405500,429377508.0
1753405800,429356266.0
1753406100,429356463.0
1753406400,429295788.0
1753406700,429261449.0
1753407000,429218906.0
1753407300,429187045.0
1753407600,429163870.0
1753407900,429137356.0
1753408200,429051776.0
1753408500,429026873.0
1753408800,429020977.0
1753409100,428998122.0
1753409400,428997528.0
1753409700,428905039.0
1753410000,428880402.0
1753410300,428958358.0
1753410600,428956700.0
1753410900,429053325.0
1753411200,428860928.0
1753411500,428858583.0
1753411800,428743834.0
1753412100,428808837.0
1753412400,428859033.0
1753412700,428848744.0
1753413000,428852026.0
1753413300,428866923.0
1753413600,428854224.0
1753413900,428843531.0
1753414200,429004305.0
1753414500,428936560.0
1753414800,429062959.0
1753415100,429162461.0
1753415400,429223382.0
1753415700,429225673.0
1753416000,429152693.0
1753416300,428996933.0
1753416600,428965248.0
1753416900,428708881.0
1753417200,428764217.0
1753417500,428797945.0
1753417800,428580698.0
1753418100,428534418.0
1753418400,428421464.0
1753418700,428393026.0
1753419000,428319344.0
1753419300,428302165.0
1753419600,428283199.0
1753419900,428322382.0
1753420200,428423523.0
1753420500,428489323.0
1753420800,428435975.0
1753421100,428456970.0
1753421400,428558057.0
1753421700,428626104.0
1753422000,428640078.0
1753422300,428631339.0
1753422600,428623221.0
1753422900,428598978.0
1753423200,428570584.0
1753423500,428561919.0
1753423800,428596552.0
1753424100,428593968.0
1753424400,428555179.0
1753424700,428549211.0
1753425000,428566095.0
1753425300,428450398.0
1753425600,428470593.0
1753425900,428348556.0
1753426200,428331449.0
1753426500,428380583.0
1753426800,428275723.0
1753427100,428249058.0
1753427400,428270154.0
1753427700,428256680.0
1753428000,428297472.0
1753428300,428379114.0
1753428600,428418232.0
1753428900,428424909.0
1753429200,428415045.0
1753429500,428428487.0
1753429800,428398120.0
1753430100,428363040.0
1753430400,428303290.0
1753430700,428389170.0
1753431000,428295441.0
1753431300,428266292.0
1753431600,428280484.0
1753431900,428512288.0
1753432200,428445898.0
1753432500,427986956.0
1753432800,427928515.0
1753433100,427901715.0
1753433400,427946862.0
1753433700,428010169.0
1753434000,428052770.0
1753434300,428037035.0
1753434600,428070839.0
1753434900,427905130.0
1753435200,427938869.0
1753435500,427938056.0
1753435800,428088789.0
1753436100,428163790.0
1753436400,428689605.0
1753436700,428693708.0
1753437000,428725616.0
1753437300,428747747.0
1753437600,428693843.0
1753437900,428780920.0
1753438200,428872238.0
1753438500,428941093.0
1753438800,428952757.0
1753439100,429055988.0
1753439400,429109642.0
1753439700,429069845.0
1753440000,429060589.0
1753440300,429038378.0
1753440600,429157045.0
1753440900,429108610.0
1753441200,429080132.0
1753441500,429046557.0
1753441800,429131133.0
1753442100,429092849.0
1753442400,429078651.0
1753442700,429152129.0
1753443000,429142519.0
1753443300,429215169.0
1753443600,429215529.0
1753443900,429191243.0
1753444200,429130150.0
1753444500,429059121.0
1753444800,428923425.0
1753445100,428898962.0
1753445400,428837351.0
1753445700,428795751.0
1753446000,428706693.0
1753446300,428577127.0
1753446600,427973995.0
1753446900,427957940.0
1753447200,427887689.0
1753447500,427888152.0
1753447800,427897516.0
1753448100,427765442.0
1753448400,427695341.0
1753448700,427699813.0
1753449000,427636866.0
1753449300,427600779.0
1753449600,427601973.0
1753449900,427547324.0
1753450200,427459550.0
1753450500,427452881.0
1753450800,427745474.0
1753451100,427816158.0
1753451400,427756282.0
1753451700,427748720.0
1753452000,427875917.0
1753452300,427881614.0
1753452600,427912698.0
1753452900,427935063.0
1753453200,428003218.0
1753453500,428040314.0
1753453800,428033529.0
1753454100,428084800.0
1753454400,429099594.0
1753454700,429049700.0
1753455000,429005998.0
1753455300,429013452.0
1753455600,429187843.0
1753455900,429183968.0
1753456200,429208047.0
1753456500,429247063.0
1753456800,429278051.0
1753457100,429466899.0
1753457400,430214875.0
1753457700,429867640.0
1753458000,429778324.0
1753458300,429726154.0
1753458600,429689361.0
1753458900,429623556.0
1753459200,430207604.0
1753459500,430193485.0
1753459800,431050394.0
1753460100,431542256.0
1753460400,431748893.0
1753460700,432060625.0
1753461000,432279599.0
1753461300,431968748.0
1753461600,432017160.0
1753461900,431940979.0
1753462200,432006071.0
1753462500,431546442.0
1753462800,431996243.0
1753463100,432090540.0
1753463400,432220465.0
1753463700,432255645.0
1753464000,432229459.0
1753464300,432283148.0
1753464600,432272431.0
1753464900,432169992.0
1753465200,432232841.0
1753465500,432252921.0
1753465800,432274775.0
1753466100,432275277.0
1753466400,432481035.0
1753466700,432606674.0
1753467000,432779398.0
1753467300,432779321.0
1753467600,432806711.0
1753467900,432650511.0
1753468200,432526678.0
1753468500,432524865.0
1753468800,432501560.0
1753469100,432602155.0
1753469400,432644694.0
1753469700,432634019.0
1753470000,432666623.0
1753470300,432667608.0
1753470600,432666927.0
1753470900,432649593.0
1753471200,432604378.0
1753471500,432617486.0
1753471800,432567571.0
1753472100,432491366.0
1753472400,432504843.0
1753472700,432460883.0
1753473000,432459905.0
1753473300,432492922.0
1753473600,432532150.0
1753473900,432445598.0
1753474200,432267994.0
1753474500,432260729.0
1753474800,432265015.0
1753475100,432291765.0
1753475400,432198762.0
1753475700,432202761.0
1753476000,432207370.0
1753476300,432187527.0
1753476600,432252644.0
1753476900,432409939.0
1753477200,432408865.0
1753477500,432410896.0
1753477800,432347716.0
1753478100,432335844.0
1753478400,432323388.0
1753478700,432400696.0
1753479000,432324000.0
1753479300,432348241.0
1753479600,432234202.0
1753479900,432120204.0
1753480200,432042925.0
1753480500,432195479.0
1753480800,432385927.0
1753481100,432688489.0
1753481400,432698923.0
1753481700,432761599.0
1753482000,432810794.0
1753482300,432834027.0
1753482600,432879507.0
1753482900,432957101.0
1753483200,433058318.0
1753483500,433035149.0
1753483800,433114260.0
1753484100,433044284.0
1753484400,433020528.0
1753484700,433224798.0
1753485000,433427639.0
1753485300,433456443.0
1753485600,433560692.0
1753485900,433575692.0
1753486200,433776516.0
1753486500,433806751.0
1753486800,433887726.0
1753487100,433816654.0
1753487400,433851323.0
1753487700,433985291.0
