ts,oi
1756598400,482526669.0
1756598700,482534063.0
1756599000,482532549.0
1756599300,482535740.0
1756599600,482483367.0
1756599900,482479391.0
1756600200,482465450.0
1756600500,482463301.0
1756600800,482558394.0
1756601100,482546654.0
1756601400,482463360.0
1756601700,482477199.0
1756602000,482528549.0
1756602300,482631559.0
1756602600,482656392.0
1756602900,482652034.0
1756603200,482604122.0
1756603500,482555703.0
1756603800,482562956.0
1756604100,482555143.0
1756604400,482538003.0
1756604700,482553542.0
1756605000,482589819.0
1756605300,482592042.0
1756605600,482572107.0
1756605900,482570502.0
1756606200,482443320.0
1756606500,482394966.0
1756606800,482390551.0
1756607100,482350243.0
1756607400,482318197.0
1756607700,482324122.0
1756608000,482334150.0
1756608300,482363154.0
1756608600,482342249.0
1756608900,482326915.0
1756609200,481662691.0
1756609500,481672854.0
1756609800,481365518.0
1756610100,481323957.0
1756610400,481652181.0
1756610700,481729814.0
1756611000,481671176.0
1756611300,481793089.0
1756611600,481826561.0
1756611900,481823004.0
1756612200,481808237.0
1756612500,481800182.0
1756612800,481868063.0
1756613100,481193599.0
1756613400,481218642.0
1756613700,481130832.0
1756614000,481114649.0
1756614300,481156789.0
1756614600,481157849.0
1756614900,481185562.0
1756615200,481201025.0
1756615500,481208698.0
1756615800,481158716.0
1756616100,481165990.0
1756616400,481154420.0
1756616700,481137471.0
1756617000,481106967.0
1756617300,481059404.0
1756617600,481012252.0
1756617900,480981410.0
1756618200,480999362.0
1756618500,480941263.0
1756618800,480938021.0
1756619100,480915835.0
1756619400,480984049.0
1756619700,480965269.0
1756620000,480784001.0
1756620300,480778889.0
1756620600,480761849.0
1756620900,480663729.0
1756621200,480661944.0
1756621500,480652743.0
1756621800,480614787.0
1756622100,480605818.0
1756622400,480597068.0
1756622700,480597775.0
1756623000,480644773.0
1756623300,480624542.0
1756623600,480630378.0
1756623900,480588086.0
1756624200,480577264.0
1756624500,480574636.0
1756624800,480530095.0
1756625100,480499969.0
1756625400,480354429.0
1756625700,480283895.0
1756626000,480287689.0
1756626300,480212380.0
1756626600,480036146.0
1756626900,480015891.0
1756627200,480053061.0
1756627500,479937280.0
1756627800,479942093.0
1756628100,479924863.0
1756628400,479993315.0
1756628700,479851773.0
1756629000,479645693.0
1756629300,479719371.0
1756629600,479711110.0
1756629900,479738709.0
1756630200,479719872.0
1756630500,479679889.0
1756630800,479722438.0
1756631100,479671484.0
1756631400,479749610.0
1756631700,479766727.0
1756632000,479769018.0
1756632300,479690361.0
1756632600,479644303.0
1756632900,479640807.0
1756633200,479602851.0
1756633500,479524886.0
1756633800,479490561.0
1756634100,479477496.0
1756634400,479373917.0
1756634700,479416455.0
1756635000,479491330.0
1756635300,479422060.0
1756635600,479432271.0
1756635900,479427387.0
1756636200,479409464.0
1756636500,479356625.0
1756636800,479351486.0
1756637100,479326414.0
1756637400,479318748.0
1756637700,479271373.0
1756638000,479238212.0
1756638300,479149283.0
1756638600,479124965.0
1756638900,478981138.0
1756639200,478973253.0
1756639500,478907761.0
1756639800,478973989.0
1756640100,478952774.0
1756640400,478959489.0
1756640700,478971455.0
1756641000,478981408.0
1756641300,478967444.0
1756641600,478949156.0
1756641900,478899453.0
1756642200,478882614.0
1756642500,478869360.0
1756642800,478861003.0
1756643100,478818810.0
1756643400,478833399.0
1756643700,478834371.0
1756644000,478751730.0
1756644300,478758755.0
1756644600,478594554.0
1756644900,478571368.0
1756645200,478565538.0
1756645500,478571103.0
1756645800,478551799.0
1756646100,478477851.0
1756646400,478486856.0
1756646700,478461466.0
1756647000,478497262.0
1756647300,478510119.0
1756647600,478563443.0
1756647900,478619224.0
1756648200,478601947.0
1756648500,478579684.0
1756648800,478601359.0
1756649100,478577882.0
1756649400,478724589.0
1756649700,478687546.0
1756650000,478633174.0
1756650300,478530975.0
1756650600,478589313.0
1756650900,478538661.0
1756651200,478535717.0
1756651500,478484854.0
1756651800,478458570.0
1756652100,478470197.0
1756652400,478470403.0
1756652700,478370903.0
1756653000,478383503.0
1756653300,478340282.0
1756653600,478341928.0
1756653900,478355335.0
1756654200,478399778.0
1756654500,478384682.0
1756654800,478399621.0
1756655100,478323181.0
1756655400,478336270.0
1756655700,478243061.0
1756656000,478128976.0
1756656300,478140579.0
1756656600,478226468.0
1756656900,478370606.0
1756657200,478374148.0
1756657500,478367907.0
1756657800,478440391.0
1756658100,478423582.0
1756658400,478431463.0
1756658700,478427137.0
1756659000,478423662.0
1756659300,478384674.0
1756659600,478629356.0
1756659900,478718365.0
1756660200,478697567.0
1756660500,478576533.0
1756660800,478498452.0
1756661100,478697414.0
1756661400,478865227.0
1756661700,478863666.0
1756662000,478871947.0
1756662300,478850687.0
