month,ret,amp,vol,trades,realized,unrealized,net,max_dd_pct,exit_events,grid_lo,grid_hi
2025-08,-6.484828274939791,14.821242833990473,32.28339228730836,743,41.87844377652816,-280.8716576877928,-238.9932139112646,3.408936447124599,0,100367.0476190476,128881.20000000001
2025-09,5.357327618062224,9.847757002438843,28.02254199653607,574,33.00503622380945,-16.567988357487593,16.437047866321855,1.0562778468274974,0,102332.57142857142,130070.01000000001
2025-10,-3.895758857524656,21.657718609241268,43.099276209594535,1433,36.89820519133657,-163.9089101337786,-127.01070494244202,6.947866509288936,41,102297.80952380951,123710.79000000001
2025-11,-17.551168250092843,27.927057473214955,50.00439439088446,414,37.99992560729322,-335.8121811897877,-297.81225558249446,5.6790241707432925,411,99547.0476190476,132313.02
2025-12,-3.0191264086969594,11.91427863207005,42.91049539210703,538,85.55880610762786,-27.97241610823494,57.58638999939292,0.8019829948529851,0,78304.85714285714,116755.8
2026-01,-10.15520522873431,25.38533161111288,37.84805112898693,1094,35.713622433938234,-768.385690041744,-732.6720676078058,10.180279216434455,8,80458.19047619047,98892.15000000001
2026-02,-14.948119737360145,24.66630259464814,65.18372213148089,154,18.185095958146203,-155.84794110457392,-137.6628451464277,2.4706954328210915,585,74053.33333333333,102539.01
2026-03,1.9544834856672688,16.443105850310072,48.82281952927882,807,118.87996416470041,-74.99512703364007,43.88483713106034,1.6242822581650367,0,59910.47619047619,88481.40000000001
2026-04,11.814950371935872,20.191452871280465,37.00232779437182,1013,50.40435773964907,2.1387727431479107,52.54313048279698,0.6240632986286755,0,62332.47619047618,79399.95
2026-05,-3.4885106929211873,13.535940187229272,30.689225937327887,683,43.44138359139468,-159.19874980500208,-115.7573662136074,1.9615557866567404,0,62902.2857142857,83256.075
2026-06,-20.430717532304488,21.698196431406995,53.67323427486769,62,2.4443116236958047,-331.08081618101915,-328.63650455732335,3.7468105675378354,686,69457.99999999999,86650.83000000002
2026-07,7.271257298121547,15.59934570623984,33.44754541398945,540,60.82085218564958,-16.16806886929635,44.65278331635323,0.49546855358612063,0,55521.904761904756,77576.835
2026-08,1.8805522562016064,5.122823420165974,21.242833265266967,212,7.456626352248493,-1.0863080915137289,6.370318260734764,0.1712297383146449,0,56900.666666666664,70181.685
