ts,n_slots,p50_lamports,p99_lamports,mean_lamports,std_lamports,slot_p99_lamports,max_lamports
2026-08-09T09:55:47+00:00,150,0,0,0.0,0.1,0,1
2026-08-09T10:00:47+00:00,150,0,0,0,0.0,0,0
2026-08-09T11:00:57+00:00,150,0,0,0,0.0,0,0
2026-08-09T12:00:05+00:00,150,0,0,0,0.0,0,0
2026-08-09T13:00:16+00:00,150,0,0,0,0.0,0,0
2026-08-09T15:00:35+00:00,150,0,0,0,0.0,0,0
2026-08-09T16:00:39+00:00,150,0,0,0,0.0,0,0
2026-08-09T17:00:51+00:00,150,0,0,0,0.0,0,0
2026-08-09T18:00:02+00:00,150,0,0,0,0.0,0,0
2026-08-09T19:00:13+00:00,150,0,0,0,0.0,0,0
2026-08-09T20:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-09T22:00:46+00:00,150,0,0,0,0.0,0,0
2026-08-09T23:00:57+00:00,150,0,0,0,0.0,0,0
2026-08-10T00:00:08+00:00,150,0,0,0,0.0,0,0
2026-08-10T01:00:18+00:00,150,0,0,0,0.0,0,0
2026-08-10T02:00:35+00:00,150,0,0,0,0.0,0,0
2026-08-10T03:00:43+00:00,150,0,0,0,0.0,0,0
2026-08-10T04:00:06+00:00,150,0,0,0,0.0,0,0
2026-08-10T05:00:16+00:00,150,0,0,0,0.0,0,0
2026-08-10T06:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-10T07:00:38+00:00,150,0,0,0,0.0,0,0
2026-08-10T08:00:49+00:00,150,0,0,0,0.0,0,0
2026-08-10T09:00:56+00:00,150,0,0,0,0.0,0,0
2026-08-10T10:00:04+00:00,150,0,0,0,0.0,0,0
2026-08-10T11:00:14+00:00,150,0,0,0,0.0,0,0
2026-08-10T12:00:23+00:00,150,0,0,0,0.0,0,0
2026-08-10T13:00:32+00:00,150,0,0,0,0.0,0,0
2026-08-10T14:00:40+00:00,150,0,0,0,0.0,0,0
2026-08-10T15:00:48+00:00,150,0,0,0,0.0,0,0
2026-08-10T17:00:58+00:00,150,0,0,0,0.0,0,0
2026-08-10T18:00:08+00:00,150,0,0,0,0.0,0,0
