2026-08-14 11:00,BTC,0.0000125,-0.0002100322
2026-08-14 12:00,BTC,0.0000125,-0.0001550966
2026-08-14 13:00,BTC,0.0000125,-0.0002241581
2026-08-14 14:00,BTC,0.0000125,-0.0002265311
2026-08-14 15:00,BTC,0.0000125,-0.0002933569
2026-08-14 16:00,BTC,0.0000125,-0.0002614108
2026-08-14 17:00,BTC,0.0000125,-0.0003021071
2026-08-14 18:00,BTC,0.0000125,-0.0003026156
2026-08-14 19:00,BTC,0.0000125,-0.0002876181
2026-08-14 20:00,BTC,0.0000125,-0.0002192068
2026-08-14 21:00,BTC,0.0000125,-0.0002298661
2026-08-14 22:00,BTC,0.0000125,-0.0001648788
2026-08-14 23:00,BTC,0.0000125,-0.0002427538
2026-08-15 00:00,BTC,0.0000125,-0.0002323192
2026-08-15 01:00,BTC,0.0000125,-0.0002054814
2026-08-15 02:00,BTC,0.0000125,-0.0001344738
2026-08-15 03:00,BTC,0.0000125,-0.0001347733
2026-08-15 04:00,BTC,0.0000125,-0.0002112362
2026-08-15 05:00,BTC,0.0000125,-0.0002070413
2026-08-15 06:00,BTC,0.0000125,-0.0001994129
2026-08-15 07:00,BTC,0.0000125,-0.0002984971
2026-08-15 08:00,BTC,0.0000125,-0.0003015933
2026-08-15 09:00,BTC,0.0000125,-0.0003710272
2026-08-15 10:00,BTC,0.0000125,-0.0003188616
2026-08-15 11:00,BTC,0.0000125,-0.0003557593
2026-08-15 12:00,BTC,0.0000125,-0.0003352414
2026-08-15 13:00,BTC,0.0000125,-0.0003463106
2026-08-15 14:00,BTC,0.0000125,-0.0003877161
2026-08-15 15:00,BTC,0.0000125,-0.0003978035
2026-08-15 16:00,BTC,0.0000125,-0.0003519655
2026-08-15 17:00,BTC,0.0000125,-0.000347313
2026-08-15 18:00,BTC,0.0000125,-0.0003235395
2026-08-15 19:00,BTC,0.0000099101,-0.0004207196
2026-08-15 20:00,BTC,0.0000125,-0.0003805091
2026-08-15 21:00,BTC,0.000010294,-0.0004176479
2026-08-15 22:00,BTC,0.0000125,-0.0003928025
2026-08-15 23:00,BTC,0.0000125,-0.0003975586
2026-08-16 00:00,BTC,0.0000125,-0.0003852935
2026-08-16 01:00,BTC,0.0000125,-0.0003698534
2026-08-16 02:00,BTC,0.0000125,-0.000344432
2026-08-16 03:00,BTC,0.0000125,-0.0003403897
2026-08-16 04:00,BTC,0.0000125,-0.0003355305
2026-08-16 05:00,BTC,0.0000125,-0.0003673095
2026-08-16 06:00,BTC,0.0000067595,-0.0004459243
2026-08-16 07:00,BTC,0.0000125,-0.000385135
2026-08-16 08:00,BTC,0.0000125,-0.0003189871
2026-08-16 09:00,BTC,0.0000125,-0.0002883397
2026-08-16 10:00,BTC,0.0000125,-0.0003015948
2026-08-14 11:00,ETH,0.0000125,-0.0002881403
2026-08-14 12:00,ETH,0.0000125,-0.0003526549
2026-08-14 13:00,ETH,0.0000125,-0.0003722874
2026-08-14 14:00,ETH,0.0000120918,-0.0004032655
2026-08-14 15:00,ETH,0.0000103336,-0.0004173312
2026-08-14 16:00,ETH,0.0000125,-0.0003162928
2026-08-14 17:00,ETH,0.0000125,-0.0003990738
2026-08-14 18:00,ETH,0.0000106408,-0.0004148732
2026-08-14 19:00,ETH,0.0000120834,-0.0004033329
2026-08-14 20:00,ETH,0.0000111684,-0.000410653
2026-08-14 21:00,ETH,0.0000040976,-0.0004672192
2026-08-14 22:00,ETH,0.0000041034,-0.0004671725
2026-08-14 23:00,ETH,0.0000031234,-0.0004750124
2026-08-15 00:00,ETH,0.0000012944,-0.0004896444
2026-08-15 01:00,ETH,0.0000060861,-0.0004513109
2026-08-15 02:00,ETH,0.0000083375,-0.0004333002
2026-08-15 03:00,ETH,0.000003332,-0.0004733441
2026-08-15 04:00,ETH,0.0000013989,-0.0004888085
2026-08-15 05:00,ETH,-0.0000000368,-0.0005002944
2026-08-15 06:00,ETH,0.0000061801,-0.0004505593
2026-08-15 07:00,ETH,0.0000080886,-0.0004352909
2026-08-15 08:00,ETH,0.0000088918,-0.0004288658
2026-08-15 09:00,ETH,0.0000038451,-0.000469239
2026-08-15 10:00,ETH,0.0000125,-0.0003919529
2026-08-15 11:00,ETH,0.0000125,-0.0003990867
2026-08-15 12:00,ETH,0.0000125,-0.0002480871
2026-08-15 13:00,ETH,0.0000125,-0.0003887996
2026-08-15 14:00,ETH,0.0000037243,-0.0004702053
2026-08-15 15:00,ETH,0.0000043932,-0.0004648543
2026-08-15 16:00,ETH,0.0000125,-0.0003549675
2026-08-15 17:00,ETH,0.000007177,-0.0004425841
2026-08-15 18:00,ETH,0.0000060961,-0.0004512311
2026-08-15 19:00,ETH,-0.0000015862,-0.0005126893
