ts,sig,labels,out_amount,context_slot,slot_lag,time_taken,drift
2026-08-10 00:43:29 UTC,f368c916f653,"Aquifer",76329867,438301435,0,0.001552065,0
2026-08-10 00:43:33 UTC,d05e3fd0782b,"HumidiFi",76324195,438301438,0,0.001282179,1
2026-08-10 00:43:49 UTC,1ffccd442430,"Whirlpool->AlphaQ",76288865,438301476,0,0.001661107,1
2026-08-10 00:44:13 UTC,10f98da3de27,"PancakeSwap",76272586,438301533,0,0.00139737,1
