ts,n_bundles,n_with_tip,n_txs,p50_tip,p99_tip,max_tip,mean_tip,std_tip
2026-08-15T13:00:45+00:00,100,100,119,3271,2299663,2299663,45099.3,250019.1
2026-08-15T14:00:58+00:00,100,100,121,3946,1000000,1000000,26928.5,140117.6
2026-08-15T15:00:09+00:00,100,100,117,2786,3500047,3500047,89920.9,493727.0
2026-08-15T16:00:20+00:00,100,100,122,5000,4700000,4700000,106947.3,583078.3
2026-08-15T17:00:25+00:00,100,100,112,4072,1000000,1000000,34478.4,121629.9
2026-08-15T18:00:39+00:00,100,100,119,4788,1000000,1000000,17404.2,99993.9
2026-08-15T19:00:46+00:00,100,100,137,2760,5000000,5000000,223677.4,751360.6
2026-08-15T20:00:58+00:00,100,100,119,20422,1500000,1500000,59414.8,171756.5
2026-08-15T22:00:21+00:00,100,100,117,4349,725000,725000,41734.1,157749.8
2026-08-15T23:00:33+00:00,100,100,127,5576,500000,500000,35666.6,100772.7
2026-08-16T00:00:46+00:00,100,100,130,3127,11001073,11001073,259095.5,1175095.5
2026-08-16T01:00:56+00:00,100,100,142,2876,1000000,1000000,28340.8,115323.4
2026-08-16T02:00:04+00:00,100,100,120,1919,3057678,3057678,85241.0,363707.6
2026-08-16T03:00:12+00:00,100,100,124,2169,1000000,1000000,16036.6,100200.9
2026-08-16T04:00:14+00:00,100,100,122,1713,7500000,7500000,118541,765745.3
2026-08-16T05:00:25+00:00,100,100,129,1006,1000000,1000000,24055.4,105157.6
2026-08-16T06:00:37+00:00,100,100,125,1245,5000000,5000000,78345.9,516787.2
2026-08-16T07:00:50+00:00,100,100,128,3740,1519500,1519500,47429.5,217620.6
2026-08-16T08:00:59+00:00,100,100,115,2937,1000000,1000000,21531.9,110912.3
2026-08-16T09:00:09+00:00,100,100,119,1000,1500000,1500000,54741.6,232858.3
2026-08-16T10:00:19+00:00,100,100,139,2288,12196972,12196972,450280.7,2153072.7
2026-08-16T11:00:27+00:00,100,100,111,2254,50000,50000,3423.2,5452.8
2026-08-16T12:00:35+00:00,100,100,138,2000,4000000,4000000,85200.5,435519.0
2026-08-16T13:00:47+00:00,100,100,126,1024,1013000,1013000,39157.3,154498.7
2026-08-16T14:00:54+00:00,100,100,129,1006,5000000,5000000,101223.6,525713.9
2026-08-16T15:01:02+00:00,100,100,127,5047,3500047,3500047,108344.8,417346.4
2026-08-16T16:00:13+00:00,100,100,121,1024,2000000,2000000,78519.6,292862.4
2026-08-16T17:00:23+00:00,100,100,121,5249,1000000,1000000,31909.6,140713.4
2026-08-16T18:00:35+00:00,100,100,138,5000,1000000,1000000,59978,197060.8
2026-08-16T19:00:48+00:00,100,100,123,3778,12142402,12142402,137780.2,1216817.0
2026-08-16T20:00:58+00:00,100,100,118,5738,1000000,1000000,35303.1,148260.7
2026-08-16T22:00:21+00:00,100,100,108,6201,5000000,5000000,58046.2,499313.5
2026-08-16T23:00:32+00:00,100,100,125,1009,2500000,2500000,97154.9,361246.5
2026-08-17T00:00:43+00:00,100,100,162,2041,2000000,2000000,89217.5,291246.8
2026-08-17T01:00:56+00:00,100,100,139,4380,350004,350004,12927.6,39473.5
2026-08-17T02:00:09+00:00,100,100,119,1908,3500047,3500047,86942.1,443550.3
2026-08-17T04:00:16+00:00,100,100,123,2340,59999999,59999999,712392.5,6032931.9
2026-08-17T05:00:26+00:00,100,100,125,1879,1911334,1911334,27657.8,191316.4
2026-08-17T06:00:38+00:00,100,100,128,5000,10000000,10000000,146091.5,1054954.9
2026-08-17T07:00:52+00:00,100,100,122,1424,995000,995000,21723.8,103052.6
2026-08-17T08:01:05+00:00,100,100,114,2022,1000000,1000000,35209.3,132901.9
2026-08-17T09:00:14+00:00,100,100,132,1803,1000000,1000000,20075.8,101831.0
2026-08-17T10:00:21+00:00,100,100,124,1048,3500047,3500047,91980.9,429516.9
2026-08-17T12:00:47+00:00,100,100,199,2908,12035966,12035966,543089.3,2023634.9
2026-08-17T13:00:58+00:00,100,100,125,7656,30000000,30000000,704404.0,3508708.0
2026-08-17T14:00:16+00:00,100,100,126,5000,3500047,3500047,53311.2,352155.6
2026-08-17T15:00:22+00:00,100,100,131,6244,1000094,1000094,85369.8,228967.2
2026-08-17T16:00:34+00:00,100,100,143,230140,5065000,5065000,433780.8,780965.6
2026-08-17T17:00:45+00:00,100,100,113,8368,15081697,15081697,210548.4,1535183.6
2026-08-17T18:00:59+00:00,100,100,109,5538,3390000,3390000,41848.6,338293.5
2026-08-17T19:00:07+00:00,100,100,103,1000,10000000,10000000,136939.7,1006369.8
2026-08-17T20:00:19+00:00,100,100,124,3548,7500000,7500000,109665.7,759875.9
2026-08-17T22:00:42+00:00,100,100,124,4162,12005012,12005012,283920.5,1482955.2
2026-08-17T23:00:53+00:00,100,100,114,3425,500000,500000,24158.1,92069.7
2026-08-18T00:00:05+00:00,100,100,130,1522,1000000,1000000,70163.9,197614.4
2026-08-18T01:00:16+00:00,100,100,128,2000,500000,500000,30038.5,103783.8
2026-08-18T02:00:36+00:00,100,100,109,3404,192875,192875,10282.8,28679.9
2026-08-18T03:00:45+00:00,100,100,123,2984,1014100,1014100,75743.5,240091.8
2026-08-18T04:00:45+00:00,100,100,120,3448,621605,621605,20275.5,69207.2
2026-08-18T05:00:55+00:00,100,100,115,1407,900000,900000,18192.9,94306.0
2026-08-18T06:00:04+00:00,100,100,111,5000,239495,239495,8244.5,25759.4
2026-08-18T07:00:17+00:00,100,100,120,3313,500000,500000,18657.5,61606.6
2026-08-18T08:00:26+00:00,100,100,131,1298,1500000,1500000,54836.6,218255.9
2026-08-18T09:00:36+00:00,100,100,147,2101,1000000,1000000,63277.2,219288.7
2026-08-18T10:00:45+00:00,100,100,115,3286,2070000,2070000,34080.4,214587.1
2026-08-18T11:00:58+00:00,100,100,121,3088,357049,357049,16181.9,55317.2
2026-08-18T12:00:09+00:00,100,100,113,5048,11492106,11492106,140257.1,1151471.9
2026-08-18T13:00:19+00:00,100,100,117,3758,4995000,4995000,71647.1,502170.7
2026-08-18T14:00:31+00:00,100,100,106,1759,500000,500000,14031.1,60821.3
2026-08-18T16:00:56+00:00,100,100,117,2834,1173441,1173441,51783.7,190707.3
2026-08-18T17:00:07+00:00,100,100,115,1000,20000000,20000000,383001.3,2251512.2
2026-08-18T18:00:17+00:00,100,100,141,5622,4000000,4000000,104306.6,444944.6
2026-08-18T19:00:31+00:00,100,100,133,5543,11001012,11001012,225248.3,1206419.0
2026-08-18T20:00:43+00:00,100,100,118,9890,3570495,3570495,153756.8,447816.7
2026-08-18T22:00:03+00:00,100,100,104,6662,44397,44397,9596.8,9173.1
2026-08-18T23:00:14+00:00,100,100,121,6293,1000000,1000000,66050.8,161589.5
2026-08-19T01:00:41+00:00,100,100,115,4643,500000,500000,43684.5,128225.0
2026-08-19T02:00:48+00:00,100,100,132,28919,1000000,1000000,49410.8,112795.8
2026-08-19T04:00:44+00:00,100,100,110,1340,1000000,1000000,25552.6,140462.2
2026-08-19T05:00:54+00:00,100,100,159,8380,4000000,4000000,109138.4,434675.1
2026-08-19T06:00:07+00:00,100,100,112,1071,544279,544279,27745.6,84811.2
2026-08-19T07:00:20+00:00,100,100,134,7195,9500000,9500000,231080.9,1217096.5
2026-08-19T08:00:29+00:00,100,100,152,1000,1000000,1000000,25978.3,107999.0
2026-08-19T09:00:41+00:00,100,100,139,1500,105000000,105000000,1135938.2,10494903.3
2026-08-19T10:00:50+00:00,100,100,143,5115,1785247,1785247,55630.2,215030.1
2026-08-19T11:01:04+00:00,100,100,117,5218,1000000,1000000,26568.1,110981.2
2026-08-19T12:00:14+00:00,100,100,123,3112,1000000,1000000,29942.4,109643.2
2026-08-19T13:00:23+00:00,100,100,133,11556,395071038,395071038,3969753.3,39505189.1
2026-08-19T14:00:33+00:00,100,100,137,10000,1013000,1013000,42702.7,149420.1
2026-08-19T15:00:42+00:00,100,100,123,5000,3570495,3570495,48801.3,356859.3
2026-08-19T16:00:52+00:00,100,100,127,8865,10000000,10000000,143088.9,1005122.0
2026-08-19T17:00:04+00:00,100,100,155,6069,6000000,6000000,254402.6,899364.2
2026-08-19T18:00:15+00:00,100,100,130,4803,500000,500000,20716.4,66366.4
2026-08-19T19:00:27+00:00,100,100,121,2217,7500000,7500000,133761.6,779633.5
2026-08-19T20:00:37+00:00,100,100,116,1356,10000000,10000000,155563.7,1060737.9
2026-08-19T22:01:01+00:00,100,100,108,8184,1000000,1000000,27047.6,101198.1
2026-08-19T23:00:11+00:00,100,100,119,5000,1000000,1000000,55061.0,144208.9
2026-08-20T00:00:26+00:00,100,100,131,4165,650000000,650000000,6663356.6,64987516.2
2026-08-20T01:00:37+00:00,100,100,136,2629,4000000,4000000,296890.6,898790.2
2026-08-20T02:00:45+00:00,100,100,128,3646,1000000,1000000,24340.3,111824.9
2026-08-20T03:00:55+00:00,100,100,143,2821,12000000,12000000,165831.6,1202185.2
2026-08-20T04:00:25+00:00,100,100,129,2888,1000000,1000000,22163.1,103489.7
2026-08-20T05:00:37+00:00,100,100,120,3385,1000000,1000000,51718.3,180591.1
2026-08-20T06:00:47+00:00,100,100,125,2000,49995000,49995000,1032185.1,7032228.2
2026-08-20T07:00:59+00:00,100,100,148,5640,7500000,7500000,117383.0,769963.0
2026-08-20T08:00:10+00:00,100,100,123,5000,3396685,3396685,125361.2,488697.7
2026-08-20T09:00:17+00:00,100,100,128,4309,3000000,3000000,79210.1,331311.4
2026-08-20T10:00:47+00:00,100,100,118,5000,520884,520884,38296.8,115736.1
2026-08-20T11:01:03+00:00,100,100,136,1771,1200000,1200000,21292.9,121276.0
2026-08-20T12:00:11+00:00,100,100,127,5000,500000,500000,39238.3,119415.6
2026-08-20T13:00:20+00:00,100,100,119,3908,2100000,2100000,54543.9,253450.8
2026-08-20T14:00:29+00:00,100,100,121,1534,203249,203249,8366.2,25878.1
2026-08-20T15:00:36+00:00,100,100,105,1220,7500000,7500000,145865.6,813527.2
2026-08-20T16:00:48+00:00,100,100,122,6438,1000000,1000000,19583.7,100192.7
2026-08-20T17:00:59+00:00,100,100,114,2445,103777500,103777500,1078356.3,10374998.5
2026-08-20T18:00:09+00:00,100,100,111,1000,2000000,2000000,53746.9,248474.9
2026-08-20T19:00:22+00:00,100,100,127,3902,1000000,1000000,20085.8,101779.1
2026-08-20T20:00:33+00:00,100,100,113,3346,458004,458004,11729.6,47456.7
2026-08-20T22:00:54+00:00,100,100,124,1000,1000000,1000000,39299.8,151723.9
2026-08-20T23:00:05+00:00,100,100,129,35067,3570495,3570495,103852.5,415082.8
2026-08-21T00:00:20+00:00,100,100,118,16738,1785247,1785247,71977.2,214365.3
2026-08-21T01:00:28+00:00,100,100,141,3564,1114800,1114800,130622.5,325183.2
2026-08-21T02:00:40+00:00,100,100,148,2892,7000000,7000000,101450.1,704042.7
2026-08-21T03:00:47+00:00,100,100,120,6357,3750000,3750000,105511.9,420880.3
2026-08-21T04:00:24+00:00,100,100,128,2561,1013000,1013000,52250.7,154103.3
2026-08-21T05:00:35+00:00,100,100,133,2123,7500000,7500000,147621.9,780630.8
2026-08-21T06:00:44+00:00,100,100,136,19158,100000,100000,20626.3,17616.9
2026-08-21T07:00:56+00:00,100,100,167,1827,4000000,4000000,392472.2,1104946.6
2026-08-21T08:00:08+00:00,100,100,137,3522,5065000,5065000,77536.7,515738.3
2026-08-21T09:00:17+00:00,100,100,105,1533,30202,30202,3988.5,5145.1
2026-08-21T10:00:22+00:00,100,100,110,1336,3000000,3000000,67694.1,342134.1
2026-08-21T11:00:33+00:00,100,100,114,1220,1440640,1440640,48017.0,202223.4
2026-08-21T12:00:52+00:00,100,100,114,1000,1014100,1014100,24185.5,111311.1
2026-08-21T13:00:48+00:00,100,100,137,2114,100000,100000,10346.3,20728.2
2026-08-21T14:00:59+00:00,100,100,101,3975,202600,202600,16960.5,31018.7
2026-08-21T15:00:16+00:00,100,100,120,8544,6000000,6000000,122588.4,709665.5
2026-08-21T16:00:26+00:00,100,100,111,3093,10000000,10000000,114118.1,998880.3
2026-08-21T17:00:32+00:00,100,100,141,8142,5000000,5000000,145883.8,564596.1
2026-08-21T18:00:44+00:00,100,100,139,6428,20004012,20004012,434006.9,2811811.3
