ts,pair,us_sym,chain_mid,us_price,dev_bps,us_ts,vol24h
2026-08-08T05:31:10+00:00,MCDX/USDT,MCD,277.19,274.4800109863281,98.5,08-07 00:00,67206
2026-08-08T05:31:10+00:00,MSTRX/USDT,MSTR,100.69,100.01000213623047,67.5,08-07 00:00,333540
2026-08-08T05:31:10+00:00,SPYX/USDT,SPY,777.5,773.260009765625,54.9,08-07 00:00,464740
2026-08-08T05:31:10+00:00,COINX/USDT,COIN,154.28,153.60000610351562,43.9,08-07 00:00,190579
2026-08-08T05:31:10+00:00,GOOGLX/USDT,GOOGL,355.4,354.29998779296875,31.2,08-07 00:00,184405
2026-08-08T06:01:05+00:00,MCDX/USDT,MCD,276.35,274.4800109863281,67.9,08-07 00:00,66346
2026-08-08T06:01:05+00:00,MSTRX/USDT,MSTR,100.69,100.01000213623047,67.5,08-07 00:00,331938
2026-08-08T06:01:05+00:00,SPYX/USDT,SPY,776.98,773.260009765625,48.1,08-07 00:00,463356
2026-08-08T06:01:05+00:00,GOOGLX/USDT,GOOGL,355.42,354.29998779296875,31.8,08-07 00:00,198908
2026-08-08T06:31:11+00:00,MSTRX/USDT,MSTR,100.66,100.01000213623047,65.5,08-07 00:00,330904
2026-08-08T06:31:11+00:00,MCDX/USDT,MCD,276.21,274.4800109863281,62.8,08-07 00:00,65240
2026-08-08T06:31:11+00:00,SPYX/USDT,SPY,776.96,773.260009765625,47.8,08-07 00:00,460589
2026-08-08T06:31:11+00:00,GOOGLX/USDT,GOOGL,355.56,354.29998779296875,35.7,08-07 00:00,201540
2026-08-08T07:00:16+00:00,MCDX/USDT,MCD,276.73,274.4800109863281,81.8,08-07 00:00,64525
2026-08-08T07:00:16+00:00,MSTRX/USDT,MSTR,100.69,100.01000213623047,68.5,08-07 00:00,329219
2026-08-08T07:00:16+00:00,SPYX/USDT,SPY,776.89,773.260009765625,47.0,08-07 00:00,457493
2026-08-08T07:00:16+00:00,GOOGLX/USDT,GOOGL,355.8,354.29998779296875,42.5,08-07 00:00,202430
2026-08-08T07:30:20+00:00,MCDX/USDT,MCD,276.84,274.4800109863281,85.8,08-07 00:00,62731
