dex,name,mark,oracle,funding,oi,is_stock
hyna,hyna:FARTCOIN,0.17332,0.1733,5.96763e-05,245449.8,False
hyna,hyna:ENA,0.16072,0.16109,9.75827e-05,456016.0,False
hyna,hyna:XMR,331.4,332.37,0.0,0.0,False
hyna,hyna:LTC,51.889,51.875,5.84495e-05,1255.36,False
hyna,hyna:LINK,11.396,11.394,1.25e-05,2085.4,False
hyna,hyna:XPL,0.093486,0.09361,1.25e-05,193084.0,False
hyna,hyna:IP,0.2947,0.3027,0.0,0.0,False
hyna,hyna:BCH,236.67,234.8,0.0,0.0,False
hyna,hyna:ADA,0.21991,0.22005,1.25e-05,86004.0,False
hyna,hyna:1000PEPE,0.003975,0.003977,1.25e-05,18245030.0,False
hyna,hyna:SILVER,85.97,77.877,0.0,0.0,True
hyna,hyna:GOLD,4993.2,4993.2,0.0,0.0,True
hyna,hyna:BASED,0.074939,0.074869,1.25e-05,393468.0,False
km,km:US500,750.97,749.64,0.0,0.0,True
km,km:BABA,116.54,109.67,0.0,0.0,True
km,km:EUR,1.1612,1.159,0.0,0.0,True
km,km:USBOND,86.038,86.316,0.0,0.0,True
km,km:SMALL2000,292.75,293.98,0.0,0.0,True
km,km:USTECH,733.79,732.18,0.0,0.0,True
km,km:USENERGY,58.247,55.159,0.0,0.0,True
km,km:USOIL,114.1,116.9,0.0,0.0,True
km,km:TSLA,386.5,399.03,0.0,0.0,True
km,km:SILVER,70.451,70.42,0.0,0.0,True
km,km:GOLD,4348.8,4347.7,0.0,0.0,True
km,km:AAPL,292.11,298.4,0.0,0.0,True
km,km:GOOGL,358.55,363.96,0.0,0.0,True
km,km:SEMI,543.11,610.42,0.0,0.0,False
km,km:GLDMINE,73.889,88.887,0.0,0.0,False
km,km:NVDA,211.07,207.22,0.0,0.0,True
km,km:TENCENT,465.0,462.96,0.0,0.0,False
km,km:JPN225,56942.0,56942.0,0.0,0.0,False
km,km:MU,1080.7,1041.8,0.0,0.0,False
km,km:PLTR,130.51,133.84,0.0,0.0,True
km,km:XIAOMI,26.311,26.367,0.0,0.0,False
km,km:BMNR,15.749,16.279,0.0,0.0,False
km,km:RTX,181.52,189.7,0.0,0.0,False
abcd,abcd:USA500,6980.0,6980.0,0.0,0.0,True
cash,cash:USA500,7457.8,7551.328,0.0,0.0,True
cash,cash:TSLA,400.21,407.557,0.0,0.0,True
cash,cash:NVDA,197.49,203.655,0.0,0.0,True
cash,cash:HOOD,113.27,116.026,0.0,0.0,True
cash,cash:GOOGL,359.53,357.246,0.0,0.0,True
cash,cash:INTC,141.02,112.988,0.0,0.0,True
cash,cash:AMZN,241.75,244.563,0.0,0.0,True
cash,cash:MSFT,371.48,381.118,0.0,0.0,True
cash,cash:META,622.67,616.274,0.0,0.0,True
cash,cash:GOLD,4035.0,4128.21,0.0,0.0,True
cash,cash:SILVER,59.831,60.0967,0.0,0.0,True
cash,cash:EWY,199.56,185.2315,0.0,0.0,True
cash,cash:WTI,69.373,71.6675,0.0,0.0,False
